ScreenTime,SleepHours,LateNightUsage,ActivityLevel,DietQuality,SittingTime,InactivityPeriods,StressLevel,Gender,MealsPerDay,CalorieIntake,BMI,Fatigue,dopamine_score,lifestyle_risk,health_score,bmi_category,FutureHealthRisk,DiabetesRisk,AnemiaRisk,PCOSRisk
4,6.1,0,1,1,11,4,2,0,2,1593,28.32658037218976,Medium,2.0,5.3,3.04,2,Medium,Medium,Medium,Medium
3,6.0,1,2,0,4,2,0,1,2,995,32.88241415192508,Medium,2.0,1.7999999999999998,3.0000000000000004,3,Medium,Low,Medium,Low
5,4.0,1,0,0,7,1,2,1,3,2169,20.679012345679013,High,3.0,3.2,1.6,1,High,High,High,High
6,6.7,0,0,2,10,3,2,0,1,818,32.87310979618672,High,3.0,4.7,3.28,3,Medium,High,Medium,High
4,7.4,0,1,1,7,4,0,1,1,408,26.03749399134753,Low,2.0,3.3,3.56,2,Medium,Medium,Medium,Low
4,6.7,0,2,0,4,4,2,0,5,3167,28.393726338561383,Medium,2.0,3.2,3.28,2,Medium,Medium,High,Medium
4,7.6,0,2,2,2,2,2,1,2,881,22.052190183434128,Low,2.0,2.0,4.24,1,Medium,Low,Medium,Medium
8,5.0,1,0,0,11,0,2,1,3,2490,21.53490839861428,High,4.5,4.1,2.0,1,High,High,High,High
2,6.1,1,1,1,10,4,1,1,1,634,33.12130678610411,Medium,1.5,4.6000000000000005,3.04,3,Medium,Medium,Medium,Medium
3,6.1,1,2,1,9,4,2,1,1,104,25.315454293738377,High,2.0,4.699999999999999,3.34,2,Medium,Low,High,Medium
4,6.9,0,1,2,9,4,2,1,1,993,14.491003501992513,Medium,2.0,4.699999999999999,3.66,0,Medium,Medium,Medium,Medium
6,5.6,1,1,2,8,2,0,1,5,3261,21.20099137030069,Medium,3.5,3.0,3.14,1,Medium,Medium,Low,Medium
6,7.7,0,0,2,6,3,2,1,5,3205,28.22838646542964,Medium,3.0,3.5,3.68,2,Medium,High,Low,High
6,6.4,1,0,2,9,1,2,0,4,3447,19.925129815239703,High,3.5,3.8,3.1600000000000006,1,Medium,High,Low,High
3,4.2,1,2,2,4,4,2,1,1,270,20.98765432098765,High,2.0,3.2,2.8800000000000003,1,Medium,Low,Medium,Medium
3,4.6,0,0,1,2,3,2,0,1,984,16.224986479177936,High,1.5,2.3,2.14,0,Medium,Medium,High,High
3,5.8,1,2,0,3,0,0,1,1,481,24.21875,High,2.0,0.8999999999999999,2.92,1,Medium,Low,High,Low
1,5.6,0,1,2,3,1,1,0,5,3238,33.26706965799829,Medium,0.5,1.6,3.14,3,Medium,Medium,Low,Medium
8,7.3,1,0,1,8,1,1,1,1,1111,31.1845871246102,High,4.5,3.1,3.22,3,Medium,High,Medium,Medium
3,7.5,1,2,0,7,2,0,0,3,1904,22.13673973000436,Low,2.0,2.7,3.6,1,Low,Low,Medium,Low
2,4.3,1,2,2,2,3,1,1,1,1503,18.608223062381853,Medium,1.5,1.9,2.92,1,Low,Low,Medium,Medium
2,5.8,0,2,2,11,3,2,0,5,2786,16.124697661918837,High,1.0,4.999999999999999,3.52,0,Medium,Medium,Medium,Medium
3,5.1,1,0,0,2,3,1,1,1,286,25.529644871208653,High,2.0,1.9,2.04,2,Medium,Medium,High,Medium
8,4.7,0,0,0,11,1,2,1,4,2670,27.73229977613685,High,4.0,4.4,1.88,2,High,High,High,High
2,6.9,0,1,0,4,2,2,0,3,1982,30.859607376561577,Medium,1.0,2.6,3.06,3,Medium,Medium,High,Medium
6,4.6,1,1,2,4,4,1,0,3,1914,24.77679524969029,Medium,3.5,2.8,2.74,1,Medium,Medium,Medium,Medium
1,6.0,0,1,0,11,2,0,0,3,2185,20.957171162932475,Low,0.5,3.9,2.7,1,Medium,Medium,Medium,Low
1,5.7,0,2,1,6,3,2,1,2,1630,26.86873565994445,Medium,0.5,3.5,3.18,2,Medium,Low,Medium,Medium
3,6.5,1,0,1,9,4,1,1,2,910,23.233456176894723,Medium,2.0,4.3,2.9,1,Medium,Medium,Medium,Medium
1,6.6,0,0,2,3,3,2,1,3,2005,18.513198633853616,Medium,0.5,2.6,3.24,1,Medium,Medium,Medium,Medium
1,5.1,1,2,1,2,2,0,0,1,456,24.07407407407408,Medium,1.0,1.2,2.94,1,Low,Low,Medium,Low
5,6.3,0,1,2,11,3,0,0,4,2740,32.40615716986227,Low,2.5,4.199999999999999,3.42,3,Medium,Medium,Low,Medium
4,4.7,1,2,0,6,2,1,1,5,2644,34.2090259199158,Medium,2.5,2.8,2.48,3,Medium,Medium,High,Medium
1,6.8,1,2,2,8,3,0,1,5,2992,32.34681737061273,Low,1.0,3.3,3.92,3,Low,Medium,Low,Low
5,4.0,0,0,2,5,0,1,0,2,1264,28.479886080455675,Medium,2.5,1.9,2.2,2,Medium,Medium,Medium,High
4,5.8,1,2,2,6,0,2,1,3,2019,27.18089990817264,Medium,2.5,2.6,3.52,2,Medium,Medium,Medium,Medium
2,6.1,0,2,2,6,0,0,0,1,882,28.67262607522348,Low,1.0,1.7999999999999998,3.64,2,Low,Low,Low,Low
4,6.3,0,2,0,3,1,1,0,1,791,22.152646502835537,Medium,2.0,1.6,3.12,1,Medium,Low,High,Medium
7,5.4,0,2,1,10,3,0,0,3,2133,26.493025631204315,Medium,3.5,3.9,3.06,2,Medium,Medium,Medium,Low
5,4.1,1,0,0,8,3,1,0,1,37,20.23950075898128,High,3.0,3.7,1.64,1,High,Medium,High,Medium
8,5.9,1,2,1,2,2,1,1,1,1099,30.864197530864192,High,4.5,1.6,3.26,3,Medium,Medium,Medium,Medium
3,4.9,0,1,2,4,3,0,0,1,636,18.974531961544947,Medium,1.5,2.1,2.8600000000000003,1,Low,Low,Low,Low
3,5.9,1,1,0,9,4,0,0,4,3343,26.86873565994445,Medium,2.0,3.9,2.66,2,Medium,Medium,Medium,Medium
1,6.7,0,0,1,4,4,2,1,1,1687,26.555965935105768,Medium,0.5,3.2,2.98,2,Medium,Medium,Medium,High
2,5.7,0,0,1,5,4,1,0,2,945,25.082863029651524,Medium,1.0,3.1,2.58,2,Medium,Medium,Medium,Medium
3,4.7,1,1,0,2,3,2,1,5,2556,30.80124869927159,High,2.0,2.3,2.18,3,High,Medium,High,High
7,7.9,1,2,0,3,0,2,1,4,2719,20.52892162782273,High,4.0,1.7,3.76,1,Medium,Medium,Medium,Medium
4,7.0,0,0,1,10,1,0,0,2,1122,19.257028815517668,Low,2.0,3.3,3.1,1,Medium,Medium,Medium,Medium
6,7.5,0,0,0,6,4,2,0,3,2488,19.045073340238563,High,3.0,3.8,3.0,1,High,High,High,Medium
5,6.5,1,2,1,11,0,1,1,1,1654,18.13201651170865,Medium,3.0,3.7,3.5,0,Medium,Low,Medium,Low
6,4.3,0,2,2,3,2,0,0,3,1983,31.99217132748692,Medium,3.0,1.5,2.92,3,Medium,Medium,Low,Medium
5,6.9,0,2,1,6,1,0,1,2,881,25.558846200657225,Low,2.5,2.1,3.66,2,Low,Low,Medium,Low
2,7.9,1,0,2,11,1,2,1,1,1336,26.298487836949377,High,1.5,4.4,3.76,2,Medium,Medium,Low,Medium
5,6.9,1,1,2,3,3,0,1,1,1494,33.49768527230984,Medium,3.0,1.7999999999999998,3.66,3,Medium,Medium,Low,Medium
7,6.4,1,1,2,7,2,2,1,1,494,31.640625,High,4.0,3.5,3.4600000000000004,3,Medium,Medium,Medium,High
1,5.2,0,2,2,6,0,2,1,5,2821,29.37239738251041,Medium,0.5,2.6,3.28,2,Medium,Medium,Medium,Medium
2,4.3,1,0,1,6,3,0,0,4,3110,20.5761316872428,Medium,1.5,2.7,2.02,1,Medium,Medium,Medium,Medium
2,4.4,1,0,0,5,1,2,0,5,2966,27.43484224965706,High,1.5,2.6,1.7600000000000002,2,High,High,High,High
6,5.0,1,0,1,10,1,0,0,3,2267,23.38868655818771,High,3.5,3.3,2.3,1,Medium,Medium,Medium,Medium
1,4.2,1,1,1,8,1,2,0,1,141,22.34351559258195,High,1.0,3.5,2.28,1,Medium,Low,High,Medium
8,7.5,1,1,2,6,0,1,0,3,2051,27.636054421768712,Medium,4.5,2.2,3.9,2,Medium,Medium,Low,Medium
2,6.3,1,1,2,10,3,2,0,1,980,33.6727656294373,High,1.5,4.7,3.42,3,Medium,Medium,Medium,High
8,7.0,0,1,2,7,0,2,0,3,2266,16.330381768036002,Medium,4.0,2.9000000000000004,3.7,0,Medium,Medium,Low,Medium
6,7.8,1,0,0,9,4,0,0,2,1758,16.493958191401628,High,3.5,3.9,3.12,0,Medium,Medium,Medium,Low
2,7.2,1,1,0,5,4,0,1,3,2241,17.617725223207618,Medium,1.5,2.7,3.18,0,Medium,Medium,Medium,Low
8,7.9,0,1,1,5,0,2,0,4,3401,25.51020408163265,Medium,4.0,2.3,3.76,2,Medium,High,Medium,Medium
2,5.2,1,2,1,6,3,1,1,4,3488,25.057360222195385,Medium,1.5,3.1,2.98,2,Medium,Medium,Medium,Medium
3,4.6,0,0,2,9,0,2,0,3,1936,27.548209366391188,High,1.5,3.5,2.44,2,Medium,High,Medium,High
7,4.3,0,2,0,6,1,2,1,2,1607,23.938989774631512,High,3.5,2.8999999999999995,2.32,1,Medium,Medium,High,Medium
1,7.5,0,1,2,3,0,1,1,1,87,23.53304270668569,Low,0.5,1.2999999999999998,3.9,1,Low,Low,Low,Medium
3,6.1,1,0,2,11,0,0,0,1,695,27.639801313892,Medium,2.0,3.3,3.04,2,Medium,Medium,Low,Medium
7,6.5,0,1,2,3,4,2,1,3,2373,25.30864197530864,Medium,3.5,2.8999999999999995,3.5,2,Medium,Medium,Medium,Medium
1,6.0,1,2,1,7,2,0,0,1,1204,20.04744562130375,Low,1.0,2.7,3.3000000000000003,1,Low,Low,Medium,Low
7,6.5,1,0,1,7,4,2,0,1,1400,23.051754907792983,High,4.0,4.1,2.9,1,High,High,Medium,High
8,5.0,0,2,2,2,2,0,0,5,2726,19.6926652892562,Medium,4.0,1.2,3.2,1,Low,Medium,Low,Low
4,5.7,0,2,2,4,3,2,0,4,2924,33.74770387457816,Medium,2.0,2.8999999999999995,3.4800000000000004,3,Medium,Medium,Medium,Medium
2,5.0,0,2,0,11,3,2,0,3,2211,17.419073885905068,High,1.0,4.999999999999999,2.6,0,Medium,Low,High,Medium
8,4.5,1,2,1,9,0,0,0,3,1886,15.917106207671422,High,4.5,2.7,2.7,0,Medium,Low,Medium,Low
8,4.5,1,2,1,2,1,0,0,5,2837,22.77318640955005,Medium,4.5,0.8999999999999999,2.7,1,Medium,Medium,Medium,Low
3,5.9,1,0,2,8,2,0,0,4,2691,16.464359504132233,Medium,2.0,3.0,2.9600000000000004,0,Medium,Medium,Low,Medium
5,8.0,0,0,2,2,1,1,1,3,2396,23.120623596247853,Low,2.5,1.2999999999999998,3.8,1,Medium,High,Low,Medium
5,4.3,1,0,2,3,4,0,0,3,1962,15.605006085952374,Medium,3.0,2.1,2.32,0,Medium,Medium,Low,Medium
7,5.8,0,0,2,9,0,0,1,2,1052,29.93759487265981,High,3.5,2.7,2.92,2,Medium,Medium,Low,Medium
7,4.5,1,1,0,7,2,0,0,5,3012,14.034459076114544,High,4.0,2.7,2.1,0,Medium,Medium,Medium,Low
6,5.0,1,2,1,3,2,2,1,5,3273,18.507766003774133,High,3.5,2.3,2.9,1,Medium,Medium,Medium,Medium
5,4.4,1,2,0,8,0,0,0,5,3015,34.80874965389027,Medium,3.0,2.4,2.3600000000000003,3,Medium,Medium,Medium,Medium
7,7.2,1,0,0,8,3,2,1,5,3304,21.29629629629629,High,4.0,4.1,2.8800000000000003,1,High,High,Medium,High
5,5.5,0,0,1,7,2,1,0,3,1892,16.75729284224206,Medium,2.5,3.1,2.5,0,Medium,Medium,Medium,Medium
6,4.2,0,1,1,2,3,0,1,1,1235,33.77777777777778,High,3.0,1.5,2.28,3,Medium,Medium,Medium,Medium
3,4.0,0,1,1,2,3,1,0,2,1473,23.456790123456788,Low,1.5,1.9,2.2,1,Medium,Medium,Medium,Medium
3,5.3,1,1,0,8,0,2,0,1,1218,34.64760317529933,High,2.0,3.2,2.42,3,High,Medium,High,High
4,5.6,0,1,2,8,0,0,0,1,1186,33.56351992592878,Medium,2.0,2.4,3.14,3,Medium,Medium,Low,Medium
5,5.8,0,0,1,7,1,0,0,5,2851,33.20312499999999,Medium,2.5,2.4,2.62,3,Medium,High,Medium,Medium
4,6.2,1,2,1,11,3,1,0,5,3288,16.70620468441979,Medium,2.5,4.6,3.3800000000000003,0,Medium,Medium,Medium,Low
4,5.4,0,0,1,9,0,1,0,1,1722,16.514731140177037,High,2.0,3.1,2.46,0,Medium,Medium,Medium,Medium
1,7.8,1,2,2,3,4,1,1,4,3319,15.063799621928164,Low,1.0,2.5,4.32,0,Low,Low,Low,Low
7,7.9,0,1,1,2,3,1,1,3,1868,23.76543209876543,Low,3.5,1.9,3.76,1,Medium,Medium,Medium,Medium
5,6.7,0,0,2,6,4,1,1,1,427,24.84098008957808,Medium,2.5,3.4,3.28,1,Medium,Medium,Medium,Medium
6,6.2,1,1,1,3,4,1,0,1,1712,20.444444444444443,Medium,3.5,2.5,3.08,1,Medium,Medium,Medium,Medium
1,5.1,0,1,2,7,2,0,0,2,1761,17.146776406035663,Medium,0.5,2.7,2.94,0,Low,Low,Low,Low
5,4.3,1,0,2,11,1,0,1,5,2526,20.32443825510934,Medium,3.0,3.6,2.32,1,Medium,Medium,Low,Medium
6,6.2,1,0,2,10,2,0,1,4,2934,23.1084345786212,Medium,3.5,3.6,3.0800000000000005,1,Medium,High,Low,Medium
4,6.5,0,2,2,8,2,0,1,2,1561,17.68978885166924,Low,2.0,3.0,3.8,0,Low,Low,Low,Low
8,4.4,0,2,2,3,0,0,0,3,1972,17.916330735465376,Medium,4.0,0.8999999999999999,2.9600000000000004,0,Low,Low,Low,Low
7,7.9,0,1,0,10,4,2,0,4,3231,29.745808545159548,High,3.5,5.0,3.46,2,High,High,Medium,Medium
8,7.8,0,0,1,7,0,0,0,3,2059,23.503556057507403,Medium,4.0,2.1,3.42,1,Medium,High,Low,Medium
5,6.6,0,1,1,7,0,2,1,1,105,14.768431001890358,Medium,2.5,2.9000000000000004,3.24,0,Medium,Medium,High,Medium
3,6.1,1,1,2,9,1,0,1,4,2568,18.68512110726644,Low,2.0,3.0,3.34,1,Low,Medium,Low,Low
6,7.7,1,2,0,2,2,0,1,2,1052,28.40818411056848,Medium,3.5,1.2,3.68,2,Medium,Low,Medium,Low
4,7.7,0,0,2,7,4,1,1,1,1463,22.229061933586404,Low,2.0,3.7,3.68,1,Medium,Medium,Low,Medium
6,4.6,0,2,0,5,3,2,0,3,1939,13.437248051599031,High,3.0,3.2,2.44,0,Medium,Medium,High,Medium
2,5.0,0,0,2,7,4,1,0,3,2381,18.974531961544947,Medium,1.0,3.7,2.6,1,Medium,Medium,Low,Medium
6,6.6,1,1,0,7,4,2,0,3,1984,24.9680097375238,High,3.5,4.1,2.94,1,Medium,Medium,High,Medium
1,7.4,1,0,0,8,4,1,1,2,884,24.121749046094468,Medium,1.0,4.0,2.9600000000000004,1,Medium,Medium,High,Medium
5,5.3,1,1,0,6,3,1,1,4,3486,20.446742023841672,Medium,3.0,3.1,2.42,1,Medium,Medium,Medium,Medium
5,6.9,0,1,0,6,3,1,0,5,2525,19.95728440880922,Low,2.5,3.1,3.06,1,Medium,Medium,Medium,Medium
7,4.9,0,2,0,3,4,2,0,4,2786,27.70083102493075,High,3.5,2.8999999999999995,2.56,2,Medium,Medium,High,Medium
7,5.4,1,1,1,8,2,2,1,2,1120,22.857142857142858,High,4.0,3.8,2.76,1,Medium,Medium,High,High
5,5.8,0,0,1,5,1,0,0,1,639,32.05128205128205,High,2.5,1.8,2.62,3,Medium,Medium,Medium,Medium
7,7.2,0,0,1,6,0,2,0,3,2366,16.60899653979239,High,3.5,2.6,3.18,0,Medium,High,Medium,Medium
1,6.8,1,0,2,4,4,2,0,1,501,25.99090318388564,High,1.0,3.2,3.3200000000000003,2,Medium,Medium,Medium,High
1,5.0,0,0,0,3,0,1,1,4,2610,20.97117202268431,Medium,0.5,1.2999999999999998,2.0,1,Medium,Medium,High,Medium
5,5.8,1,1,0,2,1,0,1,3,2019,30.22222222222222,Medium,3.0,0.8999999999999999,2.62,3,Medium,Medium,Medium,Medium
3,6.5,0,1,1,6,2,2,0,2,1558,20.429418362441915,Low,1.5,3.2,3.2,1,Medium,Medium,Medium,Medium
7,4.9,0,0,2,5,1,1,1,3,2369,19.49432892249527,Medium,3.5,2.2,2.56,1,Medium,High,Low,Medium
6,4.0,0,1,2,11,0,0,0,5,3458,26.98600101197504,Medium,3.0,3.3,2.5,2,Medium,Medium,Low,Medium
8,7.1,0,0,2,9,1,1,1,3,2487,28.763971071663377,Medium,4.0,3.3999999999999995,3.44,2,Medium,High,Low,Medium
4,5.9,0,1,1,11,1,1,0,2,1156,23.243801652892564,Medium,2.0,4.0,2.96,1,Medium,Medium,Medium,Medium
1,6.2,0,2,2,10,3,1,0,5,3110,25.87605806762861,Low,0.5,4.3,3.6800000000000006,2,Low,Medium,Low,Medium
3,7.3,1,2,0,3,0,1,1,5,3370,19.675166853130666,Low,2.0,1.2999999999999998,3.52,1,Medium,Medium,Medium,Low
6,6.9,1,0,2,10,3,1,1,2,962,23.78121284185493,Medium,3.5,4.3,3.3600000000000003,1,Medium,Medium,Low,Medium
4,6.8,1,2,1,6,1,2,0,1,1132,13.735853563856788,Medium,2.5,2.8999999999999995,3.62,0,Medium,Low,Medium,Medium
1,6.9,1,1,0,3,4,2,1,3,2043,16.464359504132233,Medium,1.0,2.8999999999999995,3.06,0,Medium,Medium,High,Medium
6,7.0,1,1,0,11,0,0,1,4,2569,20.04744562130375,Medium,3.5,3.3,3.1,1,Medium,Medium,Medium,Low
8,7.5,0,2,1,7,1,1,0,2,1042,25.77777777777778,Low,4.0,2.8,3.9,2,Medium,Medium,Medium,Medium
5,7.3,0,0,0,10,4,1,0,1,374,25.99090318388564,Medium,2.5,4.6000000000000005,2.92,2,Medium,Medium,High,Medium
7,4.1,0,1,0,10,2,1,0,3,2094,27.117768595041323,High,3.5,4.0,1.94,2,Medium,Medium,High,Medium
5,7.2,0,2,1,9,2,2,0,3,2174,17.70397729007051,Medium,2.5,4.1,3.78,0,Medium,Medium,Medium,Medium
3,4.8,1,0,1,8,3,1,0,5,3010,18.339100346020764,Medium,2.0,3.7,2.22,0,Medium,Medium,Medium,Medium
3,5.6,0,0,1,5,3,0,1,5,2518,22.59814049586777,Medium,1.5,2.4,2.54,1,Medium,Medium,Medium,Medium
1,6.8,0,2,1,6,0,2,0,2,1367,21.36752136752137,Low,0.5,2.6,3.62,1,Medium,Low,Medium,Medium
8,7.3,1,1,1,11,4,1,1,3,1934,20.34279778393352,Medium,4.5,4.9,3.52,1,Medium,Medium,Medium,Medium
8,7.7,0,1,0,11,3,1,1,3,2487,15.495867768595042,Medium,4.0,4.6,3.38,0,Medium,Medium,Medium,Medium
1,5.6,1,1,1,3,3,0,0,3,2225,29.04865649963689,Medium,1.0,1.7999999999999998,2.8399999999999994,2,Medium,Medium,Medium,Medium
2,6.8,1,2,2,7,1,0,0,3,2440,30.35925113847192,Low,1.5,2.4,3.92,3,Low,Low,Low,Low
1,6.0,0,1,2,11,0,2,0,3,1943,35.111111111111114,Medium,0.5,4.1,3.3000000000000003,3,Medium,Medium,Medium,High
5,6.2,0,1,0,9,3,0,0,3,1883,20.39542143600416,Low,2.5,3.6,2.78,1,Medium,Medium,Medium,Low
2,6.5,1,0,2,9,1,1,0,2,1117,26.14268848035082,Medium,1.5,3.3999999999999995,3.2,2,Medium,Medium,Low,Medium
3,7.7,1,2,1,2,3,1,1,4,2844,25.87605806762861,Low,2.0,1.9,3.98,2,Medium,Medium,Medium,Low
6,6.7,1,0,0,4,0,1,1,3,2059,37.16519287453544,High,3.5,1.6,2.68,3,High,High,Medium,High
7,6.1,1,0,1,4,4,1,0,1,484,23.198315069747565,High,4.0,2.8,2.74,1,Medium,Medium,Medium,Medium
6,5.6,1,0,1,2,4,2,1,4,2745,27.09925100681245,High,3.5,2.6,2.54,2,High,High,Medium,High
5,5.3,1,2,2,10,4,1,1,1,862,26.674874320303687,Medium,3.0,4.6000000000000005,3.3200000000000003,2,Medium,Low,Medium,Medium
6,5.4,1,1,0,2,1,1,0,3,1862,30.83289382936428,High,3.5,1.2999999999999998,2.46,3,Medium,Medium,High,Medium
4,5.0,0,2,1,9,2,0,1,2,1599,20.75638716766888,Medium,2.0,3.3,2.9,1,Low,Low,Medium,Low
3,4.7,1,0,1,6,2,0,0,2,1193,25.393431120318084,Medium,2.0,2.4,2.18,2,Medium,Medium,Medium,Medium
7,5.4,1,2,0,8,1,0,1,1,412,22.408786769347305,High,4.0,2.7,2.76,1,Medium,Low,High,Low
7,6.2,0,1,2,5,2,2,1,1,1109,33.62208773387128,High,3.5,2.9000000000000004,3.3800000000000003,3,Medium,Medium,Medium,High
5,7.9,0,0,1,9,1,1,1,2,1253,32.02036958450677,Medium,2.5,3.3999999999999995,3.46,3,Medium,High,Medium,Medium
4,7.7,0,1,1,6,1,2,0,1,128,23.725286160249738,Medium,2.0,2.8999999999999995,3.68,1,Medium,Medium,Medium,Medium
7,7.0,1,2,0,3,4,0,1,2,1638,30.297783933518005,Medium,4.0,2.1,3.4000000000000004,3,Medium,Medium,Medium,Low
1,4.2,0,1,0,2,0,0,0,4,2964,22.93975069252077,Medium,0.5,0.6,1.98,1,Medium,Medium,Medium,Medium
2,4.7,1,0,2,7,4,2,0,4,2882,21.545090797168363,High,1.5,4.1,2.48,1,Medium,High,Medium,High
5,7.5,0,2,0,5,2,1,0,3,1849,25.640242971826257,Low,2.5,2.5,3.6,2,Medium,Medium,Medium,Medium
2,6.8,0,1,1,7,1,0,1,1,67,16.693279140659023,Medium,1.0,2.4,3.32,0,Low,Low,Medium,Low
5,7.9,1,2,2,4,1,1,1,5,3214,21.777553339224845,Low,3.0,1.9,4.36,1,Low,Medium,Low,Low
6,6.1,0,1,1,6,0,1,1,3,1965,19.53542321662953,Low,3.0,2.2,3.04,1,Medium,Medium,Medium,Medium
2,6.3,1,2,0,8,4,0,1,5,3131,24.91076740035693,Low,1.5,3.6,3.12,1,Medium,Medium,Medium,Low
5,6.9,1,0,1,11,0,1,1,1,1312,21.36686914318855,Medium,3.0,3.7,3.06,1,Medium,Medium,Medium,Medium
6,6.3,1,2,0,6,1,2,0,1,318,28.38480216134879,High,3.5,2.8999999999999995,3.12,2,Medium,Medium,High,Medium
5,7.9,0,2,2,7,4,0,0,4,3273,20.174553747642648,Low,2.5,3.3,4.36,1,Low,Medium,Low,Low
1,4.5,0,2,2,5,0,1,1,2,1311,26.298487836949377,Low,0.5,1.9,3.0,2,Medium,Low,Medium,Medium
6,5.7,1,1,1,6,0,0,1,1,936,23.59700420642249,High,3.5,1.7999999999999998,2.88,1,Medium,Medium,Medium,Medium
1,7.2,1,2,1,7,1,0,1,1,409,28.88888888888889,Medium,1.0,2.4,3.78,2,Low,Low,Medium,Low
6,5.5,1,1,1,6,0,1,0,2,1486,22.892819979188346,Medium,3.5,2.2,2.8,1,Medium,Medium,Medium,Medium
5,5.8,0,2,2,4,0,2,0,1,249,13.735853563856788,High,2.5,2.0,3.52,0,Medium,Low,Medium,Medium
8,5.9,0,1,0,4,3,0,1,5,3046,19.6926652892562,Medium,4.0,2.1,2.66,1,Medium,Medium,Medium,Medium
8,5.7,0,2,0,10,2,2,1,2,866,26.98961937716264,High,4.0,4.4,2.8800000000000003,2,Medium,Medium,High,Medium
